iter	Passed	Remaining
724	10335	20656
725	10349	20642
726	10363	20626
727	10376	20610
728	10388	20592
729	10400	20572
730	10413	20556
731	10427	20540
732	10439	20522
733	10451	20504
734	10464	20487
735	10477	20471
736	10490	20454
737	10503	20438
738	10516	20420
739	10528	20403
740	10541	20386
741	10552	20366
742	10564	20346
743	10577	20329
744	10589	20311
745	10601	20294
746	10613	20274
747	10626	20257
748	10638	20239
749	10650	20221
750	10664	20206
751	10676	20188
752	10688	20170
753	10700	20151
754	10711	20132
755	10724	20115
756	10737	20098
757	10749	20081
758	10761	20061
759	10773	20044
760	10785	20026
761	10796	20006
762	10809	19989
763	10822	19974
764	10835	19957
765	10847	19938
766	10859	19920
767	10871	19902
768	10883	19885
769	10895	19865
770	10906	19847
771	10920	19831
772	10932	19814
773	10944	19796
774	10957	19779
775	10970	19764
776	10985	19751
777	10999	19736
778	11013	19722
779	11026	19705
780	11039	19690
781	11052	19674
782	11066	19658
783	11077	19640
784	11089	19622
785	11131	19656
786	11142	19637
787	11153	19618
788	11167	19602
789	11179	19584
790	11190	19566
791	11203	19550
792	11215	19531
793	11227	19513
794	11239	19495
795	11251	19478
796	11262	19459
797	11274	19441
798	11287	19425
799	11300	19408
800	11313	19392
801	11326	19376
802	11338	19359
803	11351	19343
804	11365	19327
805	11381	19317
806	11401	19312
807	11415	19298
808	11430	19285
809	11443	19271
810	11457	19256
811	11471	19240
812	11485	19227
813	11503	19219
814	11517	19205
815	11531	19190
816	11545	19176
817	11558	19160
818	11572	19145
819	11585	19130
820	11601	19119
821	11616	19105
822	11641	19110
823	11668	19117
824	11691	19117
825	11707	19105
826	11725	19098
827	11742	19089
828	11760	19079
829	11774	19066
830	11789	19053
831	11802	19037
832	11818	19025
833	11832	19011
834	11845	18995
835	11861	18983
836	11875	18969
837	11891	18958
838	11910	18952
839	11927	18941
840	11940	18926
841	11954	18911
842	11967	18894
843	11982	18882
844	12000	18873
845	12017	18864
846	12030	18847
847	12043	18832
848	12058	18819
849	12073	18805
850	12088	18793
851	12104	18782
852	12122	18772
853	12137	18760
854	12154	18750
855	12172	18742
856	12188	18730
857	12202	18716
858	12216	18702
859	12231	18688
860	12246	18675
861	12260	18661
862	12274	18646
863	12290	18634
864	12306	18623
865	12323	18612
866	12338	18599
867	12353	18586
868	12367	18572
869	12382	18558
870	12396	18544
871	12411	18532
872	12427	18520
873	12443	18508
874	12458	18494
875	12473	18482
876	12490	18471
877	12507	18462
878	12521	18446
879	12536	18433
880	12552	18422
881	12569	18413
882	12589	18406
883	12605	18395
884	12623	18385
885	12639	18373
886	12655	18362
887	12671	18351
888	12688	18340
889	12703	18327
890	12717	18312
891	12730	18296
892	12742	18278
893	12755	18262
894	12768	18246
895	12782	18231
896	12793	18213
897	12806	18197
898	12820	18182
899	12833	18166
900	12846	18150
901	12857	18131
902	12870	18115
903	12883	18100
904	12900	18088
905	12915	18075
906	12928	18059
907	12940	18042
908	12952	18025
909	12964	18008
910	12977	17991
911	12989	17974
912	13002	17958
913	13016	17943
914	13028	17927
915	13044	17914
916	13059	17901
917	13071	17884
918	13085	17869
919	13097	17852
920	13112	17838
921	13124	17821
922	13137	17805
923	13151	17792
924	13167	17779
925	13183	17767
926	13200	17757
927	13217	17746
928	13233	17734
929	13248	17721
930	13263	17708
931	13277	17694
932	13291	17679
933	13304	17663
934	13318	17648
935	13334	17636
936	13348	17621
937	13361	17606
938	13375	17591
939	13387	17574
940	13400	17559
941	13415	17545
942	13430	17531
943	13443	17516
944	13456	17500
945	13469	17484
946	13481	17467
947	13494	17451
948	13508	17437
949	13521	17421
950	13535	17406
951	13547	17389
952	13560	17373
953	13573	17358
954	13586	17342
955	13599	17327
956	13613	17312
957	13627	17297
958	13641	17282
959	13654	17267
960	13668	17252
961	13680	17236
962	13693	17220
963	13707	17205
964	13720	17190
965	13733	17173
966	13746	17157
967	13760	17143
968	13772	17127
969	13787	17113
970	13801	17099
971	13815	17083
972	13827	17068
973	13840	17051
974	13860	17045
975	13873	17029
976	13887	17014
977	13900	16999
978	13912	16981
979	13925	16966
980	13940	16952
981	13953	16937
982	13967	16923
983	13980	16907
984	13993	16891
985	14007	16877
986	14021	16862
987	14035	16847
988	14053	16838
989	14069	16826
990	14082	16810
991	14095	16795
992	14109	16780
993	14125	16768
994	14141	16756
995	14156	16743
996	14171	16729
997	14187	16717
998	14203	16705
999	14219	16694
1000	14234	16680
1001	14248	16665
1002	14261	16650
1003	14274	16635
1004	14289	16621
1005	14302	16606
1006	14316	16591
1007	14329	16576
1008	14341	16559
1009	14354	16543
1010	14368	16528
1011	14381	16513
1012	14395	16498
1013	14407	16481
1014	14420	16466
1015	14433	16451
1016	14448	16437
1017	14462	16423
1018	14475	16407
1019	14488	16391
1020	14502	16377
1021	14515	16361
1022	14531	16350
1023	14549	16339
1024	14565	16327
1025	14580	16314
1026	14594	16299
1027	14608	16284
1028	14621	16270
1029	14635	16255
1030	14650	16241
1031	14666	16229
1032	14682	16217
1033	14700	16208
1034	14722	16202
1035	14742	16194
1036	14760	16183
1037	14780	16175
1038	14817	16186
1039	14836	16177
1040	14862	16175
1041	14881	16166
1042	14899	16156
1043	14918	16146
1044	14933	16133
1045	14949	16121
1046	14966	16110
1047	15008	16125
1048	15025	16114
1049	15041	16101
1050	15056	16087
1051	15071	16073
1052	15084	16058
1053	15114	16060
1054	15129	16047
1055	15160	16050
1056	15178	16040
1057	15196	16029
1058	15212	16017
1059	15228	16004
1060	15244	15992
1061	15269	15988
1062	15283	15973
1063	15296	15957
1064	15311	15944
1065	15329	15933
1066	15347	15923
1067	15366	15913
1068	15384	15902
1069	15403	15893
1070	15420	15881
1071	15437	15869
1072	15455	15858
1073	15472	15846
1074	15489	15834
1075	15505	15822
1076	15521	15809
1077	15539	15798
1078	15558	15789
1079	15591	15793
1080	15608	15781
1081	15626	15770
1082	15642	15757
1083	15658	15744
1084	15674	15732
1085	15690	15719
1086	15715	15715
1087	15732	15703
1088	15747	15689
1089	15762	15675
1090	15776	15660
1091	15791	15646
1092	15807	15634
1093	15823	15621
1094	15838	15606
1095	15870	15610
1096	15886	15597
1097	15901	15582
1098	15916	15568
1099	15931	15555
1100	15946	15540
1101	15959	15525
1102	15971	15508
1103	16000	15508
1104	16031	15508
1105	16050	15498
1106	16072	15491
1107	16090	15480
1108	16104	15465
1109	16118	15450
1110	16133	15436
1111	16148	15422
1112	16163	15408
1113	16178	15393
1114	16191	15378
1115	16203	15361
1116	16217	15346
1117	16232	15332
1118	16246	15317
1119	16261	15303
1120	16276	15288
1121	16290	15274
1122	16304	15259
1123	16318	15243
1124	16331	15228
1125	16345	15213
1126	16360	15198
1127	16374	15184
1128	16388	15169
1129	16402	15153
1130	16416	15139
1131	16432	15125
1132	16446	15111
1133	16462	15097
1134	16478	15084
1135	16495	15072
1136	16513	15060
1137	16529	15047
1138	16544	15033
1139	16559	15020
1140	16576	15007
1141	16591	14993
1142	16606	14978
1143	16621	14964
1144	16635	14950
1145	16650	14936
1146	16665	14921
1147	16679	14906
1148	16693	14891
1149	16708	14877
1150	16720	14861
1151	16732	14844
1152	16745	14828
1153	16758	14812
1154	16771	14796
1155	16784	14780
1156	16796	14764
1157	16809	14748
1158	16822	14732
1159	16836	14717
1160	16850	14702
1161	16862	14686
1162	16877	14671
1163	16890	14656
1164	16904	14640
1165	16917	14625
1166	16930	14609
1167	16944	14593
1168	16958	14579
1169	16974	14565
1170	16989	14552
1171	17005	14538
1172	17020	14524
1173	17035	14510
1174	17052	14498
1175	17067	14484
1176	17082	14470
1177	17096	14455
1178	17109	14439
1179	17155	14451
1180	17174	14440
1181	17191	14428
1182	17208	14415
1183	17222	14400
1184	17237	14386
1185	17251	14371
1186	17266	14357
1187	17279	14341
1188	17291	14324
1189	17304	14309
1190	17317	14293
1191	17330	14277
1192	17342	14260
1193	17354	14244
1194	17367	14228
1195	17380	14212
1196	17394	14197
1197	17406	14180
1198	17420	14166
1199	17434	14151
1200	17448	14135
1201	17461	14120
1202	17473	14104
1203	17487	14088
1204	17501	14073
1205	17516	14059
1206	17532	14046
1207	17550	14034
1208	17567	14021
1209	17583	14008
1210	17600	13995
1211	17616	13982
1212	17635	13971
1213	17650	13957
1214	17665	13943
1215	17680	13928
1216	17695	13915
1217	17709	13900
1218	17725	13886
1219	17739	13871
1220	17754	13857
1221	17768	13842
1222	17782	13827
1223	17797	13813
1224	17812	13799
1225	17826	13784
1226	17841	13769
1227	17854	13754
1228	17868	13739
1229	17881	13723
1230	17896	13709
1231	17910	13694
1232	17924	13679
1233	17939	13665
1234	17953	13650
1235	17966	13635
1236	17996	13632
1237	18011	13617
1238	18025	13602
1239	18040	13588
1240	18055	13574
1241	18070	13560
1242	18089	13549
1243	18110	13538
1244	18125	13524
1245	18139	13510
1246	18154	13495
1247	18168	13480
1248	18180	13464
1249	18194	13449
1250	18208	13434
1251	18222	13419
1252	18236	13404
1253	18249	13389
1254	18263	13374
1255	18277	13358
1256	18290	13343
1257	18304	13328
1258	18318	13313
1259	18333	13298
1260	18346	13283
1261	18359	13267
1262	18372	13251
1263	18386	13237
1264	18399	13221
1265	18413	13206
1266	18426	13191
1267	18440	13175
1268	18454	13160
1269	18467	13145
1270	18482	13130
1271	18495	13115
1272	18508	13100
1273	18523	13085
1274	18537	13070
1275	18552	13056
1276	18566	13041
1277	18584	13029
1278	18600	13016
1279	18618	13004
1280	18636	12991
1281	18652	12978
1282	18670	12965
1283	18686	12952
1284	18702	12938
1285	18718	12925
1286	18735	12912
1287	18751	12898
1288	18766	12884
1289	18786	12873
1290	18804	12861
1291	18820	12847
1292	18835	12833
1293	18849	12819
1294	18862	12803
1295	18877	12788
1296	18890	12773
1297	18903	12757
1298	18916	12742
1299	18932	12728
1300	18947	12713
1301	18962	12699
1302	18975	12684
1303	18989	12669
1304	19003	12654
1305	19016	12639
1306	19031	12624
1307	19046	12610
1308	19060	12595
1309	19074	12580
1310	19088	12565
1311	19103	12551
1312	19117	12536
1313	19132	12521
1314	19147	12507
1315	19160	12492
1316	19176	12478
1317	19189	12462
1318	19202	12447
1319	19216	12432
1320	19230	12417
1321	19244	12402
1322	19258	12387
1323	19271	12371
1324	19283	12356
